 &plot nbnd=  68, nks=    50 /
            0.000000  0.000000  0.134084
  -75.378  -75.305  -75.231  -74.865  -74.787  -74.787  -37.591  -37.503  -37.503  -37.417
  -37.417  -37.381  -37.199  -36.788  -36.788  -36.754  -36.754  -36.680  -36.665  -36.586
  -36.586  -36.581  -36.172  -36.172  -12.023   -7.314   -6.884   -6.884   -5.150   -5.150
   -5.127   -3.767   -2.381   -1.276   -0.008   -0.008    0.343    0.343    0.989    0.989
    1.077    1.460    1.460    1.557    2.403    2.403    3.096    3.361    3.361    3.362
    3.364    3.509    3.509    4.307    4.307    4.362    4.629    5.049    5.049    5.776
    5.776    6.487    7.002    7.036    7.036    7.278    7.278    7.666
            0.000000  0.032075  0.134084
  -75.378  -75.305  -75.231  -74.864  -74.787  -74.787  -37.591  -37.510  -37.509  -37.409
  -37.409  -37.382  -37.200  -36.790  -36.789  -36.757  -36.755  -36.676  -36.662  -36.586
  -36.586  -36.580  -36.174  -36.173  -12.019   -7.398   -6.892   -6.806   -5.234   -5.136
   -5.046   -3.739   -2.372   -1.269   -0.049   -0.046    0.370    0.380    0.961    0.968
    1.076    1.457    1.473    1.560    2.385    2.405    3.088    3.304    3.318    3.403
    3.415    3.509    3.518    4.264    4.275    4.346    4.619    5.071    5.084    5.767
    5.787    6.495    6.953    7.034    7.075    7.282    7.299    7.674
            0.000000  0.064150  0.134084
  -75.378  -75.306  -75.231  -74.864  -74.787  -74.787  -37.589  -37.526  -37.523  -37.393
  -37.390  -37.380  -37.202  -36.796  -36.792  -36.766  -36.759  -36.666  -36.653  -36.586
  -36.585  -36.578  -36.181  -36.174  -12.006   -7.567   -6.913   -6.655   -5.325   -5.093
   -4.958   -3.657   -2.345   -1.249   -0.144   -0.129    0.419    0.464    0.879    0.921
    1.068    1.449    1.506    1.564    2.333    2.408    3.064    3.246    3.288    3.420
    3.433    3.528    3.556    4.162    4.193    4.304    4.595    5.118    5.169    5.742
    5.815    6.515    6.879    7.027    7.129    7.301    7.354    7.697
            0.000000  0.096225  0.134084
  -75.377  -75.306  -75.231  -74.863  -74.788  -74.788  -37.587  -37.546  -37.537  -37.390
  -37.368  -37.359  -37.204  -36.806  -36.797  -36.778  -36.763  -36.652  -36.640  -36.585
  -36.583  -36.574  -36.192  -36.177  -11.985   -7.761   -6.947   -6.501   -5.400   -5.024
   -4.871   -3.530   -2.301   -1.216   -0.264   -0.228    0.450    0.563    0.760    0.862
    1.057    1.436    1.542    1.566    2.252    2.408    3.018    3.194    3.277    3.393
    3.425    3.546    3.638    4.048    4.094    4.243    4.562    5.162    5.273    5.706
    5.852    6.536    6.809    7.019    7.187    7.344    7.438    7.734
